Row,city,hex,popularity
1,Da Nang,88416420b1fffff,0.9847013828
2,Da Nang,88416420b3fffff,0.9672697852
3,Da Nang,88416420b5fffff,0.9985289791
4,Da Nang,8841642193fffff,0.7967784643
5,Da Nang,8841642e01fffff,0.9474845543
6,Da Nang,8841642e03fffff,0.0738452486
7,Da Nang,8841642e05fffff,0.9191674022
8,Da Nang,8841642e07fffff,0.9492497793
9,Da Nang,8841642e09fffff,0.08796704913
10,Da Nang,8841642e0bfffff,0.9952927332
11,Da Nang,8841642e0dfffff,0.9994115916
12,Da Nang,8841642e13fffff,0.9938952633
13,Da Nang,8841642e15fffff,0.9822741983
14,Da Nang,8841642e21fffff,0.9319652839
15,Da Nang,8841642e29fffff,0.9931597529
16,Da Nang,8841642e2bfffff,0.9741100324
17,Da Nang,8841642e2dfffff,0.9961753457
18,Da Nang,8841642e39fffff,0.7531626949
19,Da Nang,8841642e3bfffff,0.9814976173
20,Da Nang,8841642e41fffff,0.951971168
21,Da Nang,8841642e45fffff,0.9662400706
22,Da Nang,8841642e47fffff,0.8434833775
23,Da Nang,8841642e49fffff,0.9696969697
24,Da Nang,8841642e4bfffff,0.975213298
25,Da Nang,8841642e5dfffff,0.09260076493
26,Da Nang,8841642e61fffff,0.9977934687
27,Da Nang,8841642e63fffff,0.9995586937
28,Da Nang,8841642e67fffff,0.9972050603
29,Da Nang,8841642e69fffff,0.9991173875
30,Da Nang,8841642e6bfffff,0.996763754
31,Lagos,88589c9829fffff,0.5461809434
32,Lagos,88589c98a5fffff,0.2102414297
33,Lagos,88589c98a7fffff,0.9112466707
34,Lagos,88589c9933fffff,0.6723945356
35,Lagos,88589c9985fffff,0.8415671449
36,Lagos,88589c9987fffff,0.7932812097
37,Lagos,88589c9989fffff,0.2700403815
38,Lagos,88589c998bfffff,0.8475814073
39,Lagos,88589c998dfffff,0.9317810808
40,Lagos,88589c9991fffff,0.9231033594
41,Lagos,88589c9995fffff,0.746198127
42,Lagos,88589c9997fffff,0.8783400636
43,Lagos,88589c999bfffff,0.2677205946
44,Lagos,88589c999dfffff,0.9202680643
45,Lagos,88589c99a3fffff,0.9530028353
46,Lagos,88589c99a7fffff,0.9637425896
47,Lagos,88589c99a9fffff,0.954721196
48,Lagos,88589c99abfffff,0.9267978349
49,Lagos,88589c99b1fffff,0.9130509494
50,Lagos,88589c99b5fffff,0.9687258356
51,Lagos,88589c99b9fffff,0.9814417046
52,Lagos,88589c99bbfffff,0.3397199072
53,Lagos,88589c99bdfffff,0.977403557
54,Lagos,88589c99d3fffff,0.9153707363
55,Lagos,88589c99e1fffff,0.7793624882
56,Lagos,88589c99e7fffff,0.4306211874
57,Lagos,88589c99e9fffff,0.80900421
58,Lagos,88589c99ebfffff,0.977317639
59,Lagos,88589c99edfffff,0.9976802131
60,Lagos,88589cd6dbfffff,0.349170891
61,Medellín,886618365bfffff,0.8949521949
62,Medellín,88661836d9fffff,0.9979849902
63,Medellín,886619d901fffff,0.999362599
64,Medellín,886619d903fffff,0.7120592166
65,Medellín,886619d905fffff,0.9926801686
66,Medellín,886619d907fffff,0.9998971934
67,Medellín,886619d909fffff,0.3595764367
68,Medellín,886619d90bfffff,0.9792741853
69,Medellín,886619d90dfffff,0.9900277578
70,Medellín,886619d911fffff,0.998416778
71,Medellín,886619d915fffff,0.2725197903
72,Medellín,886619d921fffff,0.9925568007
73,Medellín,886619d923fffff,0.9923717487
74,Medellín,886619d925fffff,0.9912614372
75,Medellín,886619d927fffff,0.9835920633
