Reactor Name,Model,Process,Capacity (MWe),Grid Connection,Load Factor (2023) (%),Electricity Generated (2023) (GWh),Construction Start,Country,Net Capacity (MWe),Permanent Shutdown
Oconee 3,B&W; (L-loop),PWR,859.0,18/09/1974,100.80,7588.99,,United States Of America,,
Palo Verde 1,CE (2-loop) DRYAMB,PWR,1311.0,10/06/1985,88.00,10105.43,,United States Of America,,
Palo Verde 2,COMB CE80 DRYAMB,PWR,1314.0,20/05/1986,86.60,9972.52,,United States Of America,,
Palo Verde 3,COMB CE80 DRYAMB,PWR,1312.0,28/11/1987,99.60,11449.96,,United States Of America,,
Peach Bottom 2,BWR-4 (Mark 1),BWR,1300.0,18/02/1974,100.70,11469.21,,United States Of America,,
Peach Bottom 3,BWR-4 (Mark 1),BWR,1331.0,01/09/1974,92.00,10727.42,,United States Of America,,
Perry 1,BWR-6 (Mark 3),BWR,1240.0,19/12/1986,75.70,8227.22,,United States Of America,,
Point Beach 1,W (2-loop) DRYAMB,PWR,591.0,06/11/1970,93.00,4815.15,,United States Of America,,
Point Beach 2,W (2-loop) DRYAMB,PWR,591.0,02/08/1972,94.10,4870.22,,United States Of America,,
Prairie Island 1,W (2-loop) DRYAMB,PWR,522.0,04/12/1973,82.70,3780.99,,United States Of America,,
Prairie Island 2,W (2-loop) DRYAMB,PWR,519.0,21/12/1974,73.70,3349.16,,United States Of America,,
Quad Cities 1,BWR-3 (Mark 1),BWR,908.0,12/04/1972,93.40,7425.73,,United States Of America,,
Quad Cities 2,BWR-3 (Mark 1),BWR,911.0,23/05/1972,97.00,7739.24,,United States Of America,,
R.E. Ginna,W (2-loop),PWR,560.0,02/12/1969,94.70,4644.95,,United States Of America,,
River Bend 1,BWR-6 (Mark 3),BWR,967.0,03/12/1985,51.90,4398.62,,United States Of America,,
Salem 1,W (4-loop) DRYAMB,PWR,1169.0,25/12/1976,89.00,9112.43,,United States Of America,,
Salem 2,W (4-loop) DRYAMB,PWR,1158.0,03/06/1981,91.60,9296.43,,United States Of America,,
Seabrook 1,W (4-loop) DRYAMB,PWR,1246.0,29/05/1990,87.40,9534.37,,United States Of America,,
Sequoyah 1,W (4-loop) ICECND,PWR,1152.0,22/07/1980,100.20,10112.90,,United States Of America,,
Sequoyah 2,W (4-loop) (ICECND),PWR,1139.0,23/12/1981,91.40,9114.69,,United States Of America,,
South Texas Project 1,W (4-loop),PWR,1280.0,30/03/1988,92.50,10372.14,,United States Of America,,
South Texas Project 2,W (4-loop) DRYAMB,PWR,1280.0,11/04/1989,102.10,11443.58,,United States Of America,,
St. Lucie 1,COMB CE DRYAMB,PWR,981.0,07/05/1976,100.60,8644.64,,United States Of America,,
St. Lucie 2,COMB CE DRYAMB,PWR,987.0,13/06/1983,90.40,7816.91,,United States Of America,,
Surry 1,W (3-loop) DRYSUB,PWR,838.0,04/07/1972,102.00,7488.81,,United States Of America,,
Surry 2,W (3-loop) DRYSUB,PWR,838.0,10/03/1973,86.40,6345.86,,United States Of America,,
Susquehanna Steam Electric Station 1,BWR-4 (Mark 2),BWR,1257.0,16/11/1982,97.50,10738.36,,United States Of America,,
Susquehanna Steam Electric Station 2,BWR-4 (Mark 2),BWR,1257.0,03/07/1984,84.60,9312.42,,United States Of America,,
Turkey Point 3,W (3-loop) DRYAMB,PWR,837.0,02/11/1972,92.90,6809.83,,United States Of America,,
Turkey Point 4,W (3-loop) DRYAMB,PWR,821.0,21/06/1973,92.60,6656.18,,United States Of America,,
Virgil C. Summer 1,W (3-loop) DRYAMB,PWR,973.0,16/11/1982,88.20,7517.23,,United States Of America,,
Vogtle 1,W (4-loop) DRYAMB,PWR,1150.0,27/03/1987,91.80,9244.23,,United States Of America,,
Vogtle 2,W (4-loop) DRYAMB,PWR,1152.0,10/04/1989,93.50,9436.09,,United States Of America,,
Vogtle 3,AP1000,PWR,1117.0,01/04/2023,99.30,7369.67,,United States Of America,,
Vogtle 4,AP1000,PWR,1117.0,01/03/2024,-,-,,United States Of America,,
Waterford 3,CE (2-loop),PWR,1168.0,18/03/1985,76.40,7820.38,,United States Of America,,
Watts Bar 1,W (4-loop) (ICECND),PWR,1157.0,06/02/1996,91.30,9253.94,,United States Of America,,
Watts Bar 2,W (4-loop) (ICECND),PWR,1164.0,03/06/2016,92.70,9455.43,,United States Of America,,
Wolf Creek,W (4-loop),PWR,1200.0,12/06/1985,98.00,10301.87,,United States Of America,,
Big Rock Point,-,BWR,,,,,,United States Of America,67.0,29/08/1997
Bonus,Superheater,BWR,,,,,,United States Of America,17.0,01/06/1968
Carolinas�Virginia Tube Reactor (CVTR),Prototype,PHWR,,,,,,United States Of America,17.0,10/01/1967
Crystal River 3,B&W; (L-loop),PWR,,,,,,United States Of America,860.0,05/02/2013
Dresden 1,,BWR,,,,,,United States Of America,197.0,31/10/1978
Duane Arnold 1,BWR-4 (Mark 1),BWR,,,,,,United States Of America,601.0,30/10/2020
Elk River,-,BWR,,,,,,United States Of America,22.0,01/02/1968
Enrico Fermi 1,Liquid Metal FBR,FBR,,,,,,United States Of America,61.0,29/11/1972
Fort Calhoun 1,CE (2-loop),PWR,,,,,,United States Of America,482.0,24/10/2016
Fort St. Vrain,,HTGR,,,,,,United States Of America,330.0,29/08/1989
Haddam Neck,-,PWR,,,,,,United States Of America,560.0,05/12/1996
Hallam,LMGMR (SGR- Sodium cooled graphite moderated reactor),X,,,,,,United States Of America,75.0,01/09/1964
Humboldt Bay,Natural cir.,BWR,,,,,,United States Of America,63.0,02/07/1976
Indian Point 1,PWR,PWR,,,,,,United States Of America,257.0,31/10/1974
Indian Point 2,W (4-loop) DRYAMB,PWR,,,,,,United States Of America,998.0,30/04/2020
Indian Point 3,W (4-loop) DRYAMB,PWR,,,,,,United States Of America,1030.0,01/05/2021
Kewaunee,W (2-loop) DRYAMB,PWR,,,,,,United States Of America,566.0,07/05/2013
Lacrosse,,BWR,,,,,,United States Of America,48.0,30/04/1987
Maine Yankee,,PWR,,,,,,United States Of America,860.0,01/08/1997
Millstone 1,,BWR,,,,,,United States Of America,641.0,01/07/1998
Oyster Creek,BWR-2 (Mark 1),BWR,,,,,,United States Of America,619.0,17/09/2018
Palisades,CE (2-loop) DRYAMB,PWR,,,,,,United States Of America,805.0,20/05/2022
Pathfinder,Prototype,BWR,,,,,,United States Of America,59.0,01/10/1967
Peach Bottom 1,,HTGR,,,,,,United States Of America,40.0,01/11/1974
Pilgrim 1,BWR-3 (Mark 1),BWR,,,,,,United States Of America,677.0,31/05/2019
Piqua,OCM (Organically Cooled and Moderated Reactor),X,,,,,,United States Of America,12.0,01/01/1966
Rancho Seco 1,PWR,PWR,,,,,,United States Of America,873.0,07/06/1989
San Onofre 1,PWR,PWR,,,,,,United States Of America,436.0,30/11/1992
San Onofre 2,CE (2-loop) DRYAMB,PWR,,,,,,United States Of America,1070.0,07/06/2013
San Onofre 3,CE (2-loop) DRYAMB,PWR,,,,,,United States Of America,1080.0,07/06/2013
Saxton,25,PWR,,,,,,United States Of America,3.0,01/05/1972
Shippingport,PLWBR,PWR,,,,,,United States Of America,60.0,01/10/1982
Shoreham,-,BWR,,,,,,United States Of America,820.0,01/05/1989
Three Mile Island 1,B&W; (L-loop),PWR,,,,,,United States Of America,819.0,20/09/2019
Three Mile Island 2,PWR,PWR,,,,,,United States Of America,880.0,28/03/1979
Trojan,,PWR,,,,,,United States Of America,1095.0,09/11/1992
Vallecitos,25,BWR,,,,,,United States Of America,24.0,09/12/1963
Vermont Yankee,BWR-4 (Mark 1),BWR,,,,,,United States Of America,605.0,29/12/2014
Yankee NPS,PWR,PWR,,,,,,United States Of America,167.0,01/10/1991
Zion 1,W (4-loop),PWR,,,,,,United States Of America,1040.0,13/02/1998
Zion 2,W (4-loop),PWR,,,,,,United States Of America,1040.0,13/02/1998
